t;alpha;omega
17.1; 3.13999; 1.01545e-05
17.1; 3.13999; 1.0153e-05
17.15; 3.13999; 1.00943e-05
17.15; 3.13999; 1.00687e-05
17.2; 3.13999; 9.98869e-06
17.2; 3.13999; 9.98725e-06
17.25; 3.13999; 9.88154e-06
17.25; 3.13999; 9.85999e-06
17.3; 3.13999; 9.73659e-06
17.3; 3.13999; 9.73525e-06
17.35; 3.13999; 9.5902e-06
17.35; 3.13999; 9.57234e-06
17.4; 3.13999; 9.41296e-06
17.4; 3.13999; 9.41173e-06
17.45; 3.13999; 9.23439e-06
17.45; 3.13999; 9.2199e-06
17.5; 3.13999; 9.03129e-06
17.5; 3.13999; 9.03017e-06
17.55; 3.13999; 8.82697e-06
17.55; 3.13999; 8.81554e-06
17.6; 3.13999; 8.60383e-06
17.6; 3.13999; 8.60281e-06
17.65; 3.13999; 8.37957e-06
17.65; 3.13999; 8.3709e-06
17.7; 3.13999; 8.14161e-06
17.7; 3.13999; 8.14069e-06
17.75; 3.13999; 7.90265e-06
17.75; 3.13999; 7.89645e-06
17.8; 3.13999; 7.65454e-06
17.8; 3.13999; 7.65372e-06
17.85; 3.13999; 7.40552e-06
17.85; 3.13999; 7.40153e-06
17.9; 3.14; 7.1514e-06
17.9; 3.14; 7.15067e-06
17.95; 3.14; 6.89645e-06
17.95; 3.14; 6.89439e-06
18; 3.14; 6.63992e-06
18; 3.14; 6.63928e-06
18.05; 3.14; 6.38266e-06
18.05; 3.14; 6.38229e-06
18.1; 3.14; 6.12687e-06
18.1; 3.14; 6.12631e-06
18.15; 3.14; 5.87044e-06
18.15; 3.14; 5.87152e-06
18.2; 3.14; 5.61808e-06
18.2; 3.14; 5.61759e-06
18.25; 3.14; 5.36516e-06
18.25; 3.14; 5.36749e-06
18.3; 3.14; 5.11852e-06
18.3; 3.14; 5.11811e-06
18.35; 3.14; 4.8714e-06
18.35; 3.14; 4.87477e-06
18.4; 3.14; 4.63239e-06
18.4; 3.14; 4.63204e-06
18.45; 3.14; 4.39296e-06
18.45; 3.14; 4.3972e-06
18.5; 3.14; 4.16313e-06
18.5; 3.14; 4.16284e-06
18.55; 3.14; 3.93295e-06
18.55; 3.14; 3.93788e-06
