punkt startowy;p[0] z ekspansji;p[1] z ekspansji;f_calls dla ekspansji;alpha;wynik opt X z fiba;wynik opt Y z fiba;f_calls dla fiba
-73.138;-30.1884;36.8131;14;1.6;-8.07606e-07;6.06373e-18;68
-56.8403;11.8792;119.082;15;1.6;62.7482;-0.921148;70
-91.2905;-22.5711;84.6313;15;1.6;5.84755e-07;-1.42073e-19;70
-3.8597;-1.2997;2.6939;8;1.6;6.57028e-07;1.65288e-18;56
-1.77988;-0.779877;0.780123;6;1.6;-2.21436e-06;9.10869e-17;52
28.9093;-14.0404;12.1321;14;1.6;2.47141e-07;-5.75926e-18;64
33.2202;-9.72944;16.443;14;1.6;-8.77834e-08;-6.82671e-18;64
-60.0629;8.65662;115.859;15;1.6;62.7482;-0.921148;70
28.1125;-14.8372;11.3353;14;1.6;-3.78387e-07;-4.1173e-18;64
68.304;57.8182;64.208;11;1.6;62.7482;-0.921148;58
16.673;-10.1705;6.18729;13;1.6;2.04469e-06;7.6634e-17;62
71.8058;55.0285;65.2522;12;1.6;62.7482;-0.921148;60
31.7789;-11.1708;15.0017;14;1.6;-1.309e-06;2.72887e-17;64
86.4414;43.4917;69.6642;14;1.6;62.7482;-0.921148;64
33.6522;-9.29748;16.875;14;1.6;2.31e-07;-5.91362e-18;64
50.7552;57.3088;67.5324;10;1.6;62.7482;-0.921148;60
5.14404;-1.40956;2.58404;10;1.6;1.91913e-06;6.66801e-17;56
-32.6248;-15.8476;10.3248;12;1.6;1.52067e-06;3.9268e-17;64
58.7956;61.3556;65.3492;8;1.6;62.7482;-0.921148;56
-88.9904;-46.0407;20.9608;14;1.6;2.67126e-07;-5.55371e-18;68
-6.99346;-2.89746;3.4923;9;1.6;-1.3564e-06;2.98154e-17;58
-62.9036;-19.9539;47.0476;14;1.6;-1.6783e-08;-6.9752e-18;68
-3.33582;-1.23582;5.92518;7;2.1;-1.65214e-06;4.76104e-17;58
13.0419;-6.40617;8.63193;10;2.1;9.21377e-07;9.99787e-18;62
59.4175;61.5175;68.6785;7;2.1;62.7482;-0.921148;58
-87.8538;-47.0128;92.2551;11;2.1;1.98612e-06;7.19129e-17;70
13.7218;-5.72633;9.31177;10;2.1;-1.93443e-06;6.78592e-17;62
55.621;60.031;75.0691;8;2.1;62.7482;-0.921148;62
-16.1505;-6.88954;24.6905;9;2.1;-1.48886e-06;3.73531e-17;64
-91.5369;-50.6959;88.572;11;2.1;1.33159e-07;-6.62621e-18;70
57.9901;60.0901;67.2511;7;2.1;62.7482;-0.921148;58
80.1821;39.3411;70.9211;11;2.1;62.7482;-0.921148;64
67.5915;58.3305;65.4915;9;2.1;62.7482;-0.921148;58
-3.94417;-1.84417;5.31683;7;2.1;2.44154e-06;1.12242e-16;58
49.6925;54.1025;69.1406;8;2.1;62.7482;-0.921148;62
99.1062;13.3401;79.6581;12;2.1;62.7482;-0.921148;68
12.2432;-7.20487;7.83323;10;2.1;4.93531e-07;-2.10939e-18;62
48.2416;57.5026;89.0826;9;2.1;62.7482;-0.921148;64
-14.6205;-5.35946;26.2205;9;2.1;-2.46044e-06;1.14094e-16;64
-93.1361;-52.2951;86.9727;11;2.1;2.49461e-06;1.17481e-16;70
-95.015;-54.1739;85.0939;11;2.1;6.27491e-07;8.9406e-19;70
36.0992;-49.667;16.6511;12;2.1;-2.67696e-07;-5.54761e-18;68
51.7684;56.1784;71.2165;8;2.1;62.7482;-0.921148;62
-49.0788;-29.6307;36.6873;10;2.1;1.58889e-06;4.35106e-17;68
61.9898;61.9898;64.0898;5;2.1;62.7482;-0.921148;54
39.4394;-46.3267;19.9913;12;2.1;-1.54652e-06;4.08537e-17;68
-10.031;-5.62096;9.41714;8;2.1;-3.73709e-07;-4.18766e-18;62
82.0657;41.2247;72.8047;11;2.1;62.7482;-0.921148;64
-92.5485;-51.7075;87.5604;11;2.1;-1.86127e-06;6.23061e-17;70
-83.5511;-42.7101;96.5577;11;2.1;-8.78397e-07;8.4508e-18;70
-71.0811;-30.24;109.028;11;2.1;62.7482;-0.921148;70
-23.7101;-14.4491;17.1309;9;2.1;-2.64943e-06;1.33409e-16;64
32.0762;-53.6899;12.6281;12;2.1;1.4017e-06;3.23144e-17;68
-13.0412;-8.63124;6.40686;8;2.1;9.09443e-07;9.5609e-18;62
1.8664;-2.5436;0.866396;8;2.1;-1.37323e-06;3.07344e-17;56
68.7427;59.4817;66.6427;9;2.1;62.7482;-0.921148;58
-6.99862;-2.58862;12.4495;8;2.1;-1.95959e-06;6.98189e-17;62
-1.21271;-1.21271;0.887294;5;2.1;1.9904e-06;7.22533e-17;54
-67.4994;-26.6584;112.609;11;2.1;62.7482;-0.921148;70
34.4447;-51.3214;14.9966;12;2.1;1.78533e-06;5.67675e-17;68
-77.9678;-37.1268;102.141;11;2.1;2.70544e-06;1.39408e-16;70
-22.7134;-13.4524;18.1276;9;2.1;2.10327e-06;8.14942e-17;64
-81.1028;-40.2618;99.006;11;2.1;-2.73643e-06;1.4278e-16;70
97.6724;11.9062;78.2243;12;2.1;62.7482;-0.921148;68
95.2473;9.48121;75.7992;12;2.1;62.7482;-0.921148;68
2.97003;-1.43997;1.97003;8;2.1;-1.85856e-06;6.2104e-17;56
16.5516;-24.2894;7.29063;11;2.1;-9.3324e-07;1.04379e-17;64
-18.1019;-8.84088;22.7391;9;2.1;1.16547e-06;2.01854e-17;64
-33.6154;7.22565;146.493;11;2.1;62.7482;-0.921148;70
5.06048;-4.20052;2.96048;9;2.1;-1.61454e-08;-6.97562e-18;58
-47.7405;-28.2924;38.0257;10;2.1;1.85805e-06;6.20659e-17;68
87.2082;46.3672;77.9472;11;2.1;62.7482;-0.921148;64
88.5835;47.7425;79.3225;11;2.1;62.7482;-0.921148;64
38.8006;-46.9655;19.3525;12;2.1;1.57143e-06;4.2407e-17;68
-50.3833;-30.9352;35.3828;10;2.1;1.69405e-06;5.04155e-17;68
-62.3496;-42.9015;23.4165;10;2.1;-2.0618e-06;7.80394e-17;68
37.5408;-48.2254;18.0927;12;2.1;9.66975e-07;1.172e-17;68
19.9238;-20.9173;10.6628;11;2.1;-8.19858e-07;6.46252e-18;64
-74.8586;-34.0175;105.25;11;2.1;62.7482;-0.921148;70
87.4666;46.6256;78.2056;11;2.1;62.7482;-0.921148;64
78.0457;37.2047;68.7847;11;2.1;62.7482;-0.921148;64
47.7179;56.9789;88.5589;9;2.1;62.7482;-0.921148;64
-22.4853;-13.2243;18.3557;9;2.1;9.37939e-07;1.06138e-17;64
88.3729;47.5319;79.1119;11;2.1;62.7482;-0.921148;64
4.82594;-4.43506;2.72594;9;2.1;6.36115e-07;1.112e-18;58
-16.2957;-7.0347;24.5453;9;2.1;-2.00791e-06;7.36534e-17;64
-55.0216;-35.5735;30.7445;10;2.1;1.72139e-06;5.22827e-17;68
-50.4487;-31.0006;35.3174;10;2.1;-1.20194e-06;2.19125e-17;68
-62.0036;-42.5555;23.7625;10;2.1;-7.28151e-07;3.62326e-18;68
-78.7886;-37.9476;101.32;11;2.1;2.03041e-07;-6.15632e-18;70
-69.3171;-28.476;110.792;11;2.1;62.7482;-0.921148;70
68.5723;59.3113;66.4723;9;2.1;62.7482;-0.921148;58
-83.6604;-42.8194;96.4484;11;2.1;-2.21501e-06;9.11447e-17;70
-55.6941;-36.246;30.072;10;2.1;-1.19155e-06;2.14149e-17;68
-62.9136;-43.4655;22.8526;10;2.1;2.19101e-06;8.90297e-17;68
-32.0164;8.82464;148.092;11;2.1;62.7482;-0.921148;70
-52.3439;-32.8958;33.4222;10;2.1;-6.29541e-07;9.4561e-19;68
19.8358;-21.0053;10.5748;11;2.1;1.27185e-06;2.53714e-17;64
6.49034;-2.77066;4.39034;9;2.1;1.86259e-06;6.24042e-17;58
-5.42027;-3.32027;3.84073;7;2.1;-3.22236e-07;-4.90411e-18;58
-69.3333;-28.4923;110.776;11;2.1;62.7482;-0.921148;70
-69.0987;-28.2577;111.01;11;2.1;62.7482;-0.921148;70
-60.7265;-41.2784;25.0396;10;2.1;6.84642e-08;-6.88709e-18;68
-57.2124;-37.7643;28.5537;10;2.1;-7.88435e-07;5.45176e-18;68
24.2469;-16.5941;14.9859;11;2.1;-1.05518e-06;1.52873e-17;64
61.7658;61.7658;63.8658;5;2.1;62.7482;-0.921148;54
16.791;-24.0501;7.52996;11;2.1;-1.69092e-06;5.02033e-17;64
-36.0587;-16.6106;49.7074;10;2.1;1.1911e-06;2.13937e-17;68
-82.4929;-41.6519;97.6159;11;2.1;3.57139e-07;-4.42987e-18;70
6.70513;-2.55587;4.60513;9;2.1;2.50046e-06;1.18066e-16;58
-10.2393;-5.82928;9.20882;8;2.1;1.45265e-06;3.52229e-17;62
77.0573;57.6092;72.6473;10;2.1;62.7482;-0.921148;62
-55.207;-35.7589;30.5591;10;2.1;-1.73032e-06;5.28993e-17;68
-80.3821;-39.5411;99.7267;11;2.1;4.18778e-07;-3.47334e-18;70
23.1759;-17.6651;13.9149;11;2.1;1.19504e-06;2.15816e-17;64
-67.2629;-26.4219;112.846;11;2.1;62.7482;-0.921148;70
-90.1032;-49.2622;90.0057;11;2.1;-2.17528e-06;8.76558e-17;70
19.3708;-21.4702;10.1098;11;2.1;1.7991e-06;5.77542e-17;64
2.98611;-1.42389;1.98611;8;2.1;1.65232e-06;4.76223e-17;56
46.7782;56.0392;87.6192;9;2.1;62.7482;-0.921148;64
-24.3589;-15.0979;16.4821;9;2.1;-7.91849e-07;5.55967e-18;64
-13.0409;-8.63089;6.40721;8;2.1;-2.03725e-06;7.60269e-17;62
